Hugo_Symbol	Entrez_Gene_Id	GTEX-S32W-1526-SM-4AD6Z	GTEX-TSE9-2826-SM-4DXTF	GTEX-U3ZN-1626-SM-4DXTZ	GTEX-TML8-0726-SM-4DXTT	GTEX-T5JW-0726-SM-4DM6D	GTEX-S341-1126-SM-4AD6T	GTEX-T6MO-1426-SM-4DM73	GTEX-S341-1326-SM-4AD72	GTEX-S4UY-1426-SM-4AD6Y	GTEX-TSE9-2726-SM-4DXSQ	GTEX-S32W-1626-SM-4AD6G
ZZEF1	23140	137.14	262.2	143.01	141.02	140.04	234.57	220.32	204.07	173.85	241.19	105.15
MYLK2	85366	0	0	3.79	5.54	0	0	5.23	2.14	1.55	0	0
RP11-697E2.6	0	3.47	6.41	1.45	2.32	3.63	4.94	2.84	12.09	1.83	2.97	0.56
AC016722.1	0	2.58	2.14	0	5.92	7.17	3.76	1.16	2.66	10.31	2.29	0
ZNF624	57547	38.95	52.82	32.36	87.03	73.54	111.99	49.21	98.73	71	26.1	44.89
CXorf58	254158	0	0.95	1.11	1.03	7.75	0	1.43	7.63	4.39	0	4.86
GPC6	10082	305.55	119.26	0.06	599.49	3.99	518.15	121.79	92.05	202.66	53.57	624.99
FHL1	2273	1745.2	14262.1	25.35	5292.48	435.55	24660.96	934.76	1008.9	14163.58	9025.81	3928.15
REPS1	85021	476.71	684.02	848.22	563.18	872.1	511	633.73	733.19	551.56	866.07	389.72
DDX19B	11269	473.41	660.68	429.54	698.41	988.12	669.92	703.28	718.08	961.07	532.74	595.34
CTB-133G6.1	0	9.63	2.58	1.51	12.36	2.58	10.79	4.74	4.58	11.55	0	10.39
KCNA7	3743	1.22	0.44	1.68	0	7.51	0	2.23	0.49	3.44	0	0
KIAA1024L	100127206	6.62	0	1	6.84	0.97	11.38	1.5	0.92	7.4	0	0
CYB5RL	606495	27.05	62.12	26.28	61.25	19.68	37.59	47.5	66.18	27.25	35.25	33.78
CP	1356	5219.6	336.79	56.28	127.89	25.91	128.79	1393227.06	106462.55	145.02	206.94	1127.35
AL162389.1	0	3.96	3.5	4.43	1.46	2.36	0	7.75	0	1.36	6.78	1.33
DSCAM	1826	1.38	2.41	0	1.53	0	0.54	5.45	5.5	0.52	0	0.51
PELI2	57161	52.08	457.25	4.24	100.83	39.79	389.72	241.19	248	255	624.99	86.43
DCDC2B	149069	4.82	2.78	2.61	11.04	1.01	7.88	269.6	2090.03	13.83	7.63	1.01
RBM15B	29890	532.74	273.37	309.83	529.06	403.5	674.59	438.59	511	638.15	265.87	500.46
PRRC2B	84726	1844.76	1135.2	543.96	1350.18	941.27	2178.83	1832.01	1721.16	1378.57	1104.13	1540.37
GALNT2	2590	1397.83	591.22	193.01	1225.22	514.56	1304.15	1208.34	1051.79	1111.82	708.18	1331.57
KIAA0907	22889	656.11	660.68	503.95	450.94	540.19	660.68	884.29	1135.2	412	915.51	518.15
PNMT	5409	52.82	239.52	2.01	19.25	241.19	941.27	205.5	237.86	733.19	166.73	46.18
KIF3C	3797	212.78	71	73.54	81.14	21.63	141.02	244.57	138.1	426.57	91.41	232.94
TEX28	1527	0	0	0	0	0	0	0	0	0	0	0.4
RINT1	60561	239.52	343.89	163.28	193.01	239.52	221.86	206.94	218.79	212.78	307.69	221.86
ZC3H10	84872	178.77	323.03	52.45	237.86	131.51	231.32	176.29	258.57	164.42	343.89	258.57
DDR2	4921	713.11	1331.57	2.39	2537.92	31.22	2163.77	514.56	277.2	1561.89	3443.31	813.63
RBMS1	5937	1295.13	775.05	599.49	1030.12	470.14	1127.35	813.63	902.89	1508.65	860.08	1447.15
APEX2	27301	412	108.14	693.58	279.14	547.75	293.07	273.37	255	341.51	108.14	429.54
SNPH	9751	144.01	44.57	1.06	64.8	0.75	77.25	45.53	30.78	76.71	22.26	132.44
HIRIP3	8479	460.44	551.56	177.53	493.56	358.54	486.75	368.65	444.72	438.59	490.14	466.88
NDUFC2-KCTD14	100532726	8.38	0	17.77	32.59	2.56	10.79	33.78	0	15.22	2.92	14.24
RPL36A-HNRNPH2	0	42.41	30.78	28.65	39.22	46.5	64.34	0	42.71	0	33.3	62.12
SPAG16	79582	896.64	1151.06	2555.58	708.18	2061.24	708.18	2061.24	4704.07	591.22	1477.58	1594.73
HSDL2	84263	813.63	748.61	1923.14	1159.07	543.96	1073.91	753.83	825	642.59	612.11	1191.69
LRRC14	9684	327.56	218.79	215.77	591.22	339.14	307.69	647.07	438.59	371.22	232.94	309.83
CRCT1	54544	1.14	0.36	1877002.62	3.23	437825.58	0	2.43	3.23	15	1.23	0.32
CDC25A	993	20.11	8.32	159.9	21.63	30.12	14.67	34.02	14.89	17.51	9.34	19.11
TUSC5	286753	8.19	2.1	0.21	5.11	0.87	7.82	4.13	2.16	19.53	1.1	12.09
RP11-382J12.1	0	2.27	8.71	2.97	0.91	1.43	0	1.04	3.41	2.34	11.21	0
HIST2H4A	8294	133.36	193.01	480.04	95.34	231.32	116.78	954.43	723.08	356.05	205.5	96.01
DBP	1628	241.19	1044.52	1457.23	785.88	358.54	525.39	587.13	941.27	728.11	909.17	183.82
MTPN	136319	1437.15	463.65	5751.61	1757.34	1437.15	1467.37	890.44	1508.65	1477.58	693.58	1883.54
RPRD2	23248	291.04	287.01	161.02	587.13	193.01	738.29	432.53	698.41	473.41	384.34	403.5
U2SURP	23350	642.59	1081.39	336.79	612.11	470.14	674.59	796.86	813.63	647.07	1051.79	624.99
NTN1	9423	66.18	242.88	58.71	231.32	199.85	2664.15	490.14	723.08	409.15	500.46	123.5
CNGA3	1261	0.73	0	0	2.32	0	1.55	0.74	10.63	0	0	0
TMEM81	388730	100.83	106.63	49.21	62.56	45.21	59.13	71.5	95.34	58.3	100.83	94.67
HP1BP3	50809	2047	2956.17	1662.49	2645.74	1313.23	2609.3	3190.46	2537.92	2935.74	3325.99	2400.97
GRIN2B	2904	0	0	1.08	16.63	0	0	0	0.87	0	0	0.84
RP11-723O4.6	0	3.06	9.63	29.48	1.51	8.13	10.55	30.78	47.5	7.28	13.42	1
PPP1R9A	55607	2.73	6.41	0	105.89	0	16.75	229.72	444.72	38.4	3.41	19.39
RIPK4	54101	25.17	13.52	4152.18	30.34	2796.65	31.9	612.11	599.49	19.82	33.3	39.5
AC003005.4	0	0	0	0	9.41	0	0	0	0	15.8	0	0
CEBPG	1054	212.78	212.78	575.03	185.11	514.56	215.77	205.5	208.38	138.1	198.47	318.57
APBA2	321	500.46	55.89	23.25	295.11	389.72	753.83	1295.13	3060.45	157.68	37.05	258.57
QRSL1	55278	162.14	123.5	65.26	242.88	229.72	231.32	132.44	264.03	130.6	93.35	127.89
LST3	0	0	0	0	0	0	0	9.2	158.79	0	0	0
MRO	83876	9.2	0.82	0	6.57	0	4.03	21.78	3.92	0.84	2.61	6.16
MAGEB17	645864	2.94	0	6.16	1.81	0	4.78	9.2	6.26	9.27	0	0
ZFP36L1	677	12244.81	8778.97	20030.74	12764.83	11504.21	7382.04	19892.37	23986.58	19482.97	8658.09	9215.48
GPR137C	283554	8.32	9.7	6.94	6.62	4.46	17.38	11.38	25.17	74.06	13.32	8.45
GRHPR	9380	2434.5	3325.99	1781.89	2468.49	2720.15	2875.3	2895.31	2627.46	2417.67	3124.78	1950
FREM2	341640	10.71	1.77	0.83	195.72	6.46	11.73	285.03	796.86	161.02	1.73	81.71
C11orf87	399947	2.18	2.18	0	34.75	4.62	43.02	41.81	61.68	23.93	0	6.36
HBEGF	1839	148.09	486.75	656.11	190.34	169.07	105.15	104.42	63.89	90.14	525.39	142.01
C12orf39	80763	17.38	151.22	12.36	23.59	56.68	4.17	0	92.7	18.16	0	14.67
GZMH	2999	54.72	19.82	764.36	129.69	438.59	47.5	212.78	215.77	171.45	60.82	129.69
FGD3	89846	29.91	17.51	241.19	82.29	318.57	51.71	111.21	120.94	54.33	12.74	64.34
TLDC1	57707	161.02	44.57	4358.66	239.52	1183.45	92.05	194.36	226.54	115.16	67.12	136.19
IPO13	9670	624.99	403.5	339.14	358.54	366.09	336.79	435.55	409.15	379.04	256.78	518.15
GALR2	8811	7.63	0	269.6	0	16.27	2.94	0	0	1.64	1.53	0
EMC8	10328	587.13	384.34	373.81	444.72	420.68	341.51	373.81	599.49	387.02	389.72	555.41
CACYBP	27101	2573.36	1388.16	1540.37	1721.16	1268.46	1709.26	1167.14	1733.13	1583.71	1407.55	2335.28
CD8B	926	39.79	15.34	134.3	68.07	432.53	58.3	7911.95	16843.62	85.22	1.66	45.53
ACE2	59272	8.58	2.34	205.5	21.63	90.77	3.06	9.41	6.57	6.06	6.73	0.06
ZFP3	124961	50.27	4.9	34.26	102.97	198.47	97.36	197.09	325.29	90.14	12.55	78.89
CCDC60	160777	1909.85	66.65	204.07	33.3	866.07	18.7	988.12	5147.73	88.26	1.68	363.56
NBPF15	284565	329.84	457.25	64.8	547.75	186.4	65.72	220.32	88.26	320.8	507.46	417.77
SLC13A4	26266	10.39	10.47	638.15	19.97	172.65	22.1	9.85	41.81	5.59	3.66	4.43
PSME3	10197	1498.22	718.08	1447.15	1073.91	1286.18	1066.48	860.08	1001.93	1051.79	780.44	1605.83
TSPAN11	441631	121.79	123.5	52.08	1594.73	153.34	358.54	429.54	848.22	293.07	91.41	258.57
ZKSCAN7	55888	62.12	31.45	0.41	156.59	7.28	61.25	72.52	118.43	214.27	9.85	77.79
RAP2C	57826	234.57	253.23	258.57	173.85	279.14	229.72	277.2	228.13	281.09	224.97	224.97
C6orf195	154386	3.44	3.72	0.99	1.95	0	1.22	2.84	0.53	3.53	0.48	5.19
GSTO1	9446	4210.15	8022.41	2997.45	3081.75	3190.46	3540.14	6607.01	4066.71	6516.03	6337.83	5403.7
RP11-351M8.1	0	0	0	0	11.04	8.25	8.51	8.71	5.45	8.32	0	0
C7orf50	84310	2758.13	3303	1001.93	4543.8	1286.18	1721.16	1477.58	1572.76	2400.97	1896.65	2609.3
NIPAL1	152519	24.63	16.75	395.18	8.92	460.44	10.55	26.86	31.22	16.27	8.65	16.63
RIC8A	60626	2573.36	1073.91	2193.99	2537.92	1331.57	2075.59	1781.89	1651	1991	1175.27	2351.53
POLR1A	25885	156.59	77.79	76.71	118.43	86.43	166.73	78.34	158.79	105.89	82.29	149.12
HID1	283987	902.89	361.04	19.82	563.18	57.08	571.05	5594.3	3820.7	1551.09	248	866.07
TNN	63923	3.06	3.03	1.43	13.62	0	4.28	3.11	0	6.41	2.1	3.08
SEC16A	9919	1685.71	1295.13	587.13	1143.1	808	1313.23	2133.97	1583.71	1119.56	1030.12	1143.1
C19orf70	125988	3235.01	2502.97	1447.15	2090.03	2287.2	1883.54	2061.24	2255.7	1617	2104.58	2609.3
SLC35F2	54733	579.04	796.86	1674.06	275.28	1104.13	417.77	1313.23	813.63	529.06	1044.52	518.15
TMEM110-MUSTN1	375346	55.89	78.89	40.07	99.43	25.17	78.34	78.89	172.65	109.66	80.57	57.08
SEPT12	124404	0	7.4	1.75	0.28	3.44	5.5	7.28	5.73	1.89	4.06	2.05
MGEA5	10724	974.5	1605.83	1417.35	1268.46	1175.27	1340.84	1233.75	1216.75	1427.22	1498.22	1143.1
C15orf52	388115	76.71	48.87	409.15	85.82	197.09	164.42	92.7	86.43	132.44	24.99	166.73
ESPN	83715	50.63	123.5	3467.27	170.25	2417.67	101.54	8901.53	9673.69	57.08	167.9	91.41
GTPBP4	23560	1340.84	507.46	397.93	454.09	825	575.03	368.65	507.46	518.15	444.72	1191.69
SLC16A12	387700	12.27	104.42	17.38	1.13	5.63	63.89	3928.15	5366.37	2.68	9.34	60.82
TXNRD3	114112	159.9	320.8	147.06	223.41	129.69	85.82	260.38	170.25	198.47	343.89	102.25
SLC10A7	84068	77.25	60.82	220.32	109.66	91.41	96.01	113.56	170.25	107.38	95.34	110.43
DNAH10	196385	53.19	10.24	3.76	34.26	10.63	387.02	242.88	1639.59	12.18	19.25	67.12
CLGN	1047	37.85	73.54	0.3	11.64	2.01	16.27	80.57	607.87	5.87	100.13	79.45
ZNF549	256051	23.59	5.23	5.63	47.17	33.54	38.95	59.55	260.38	31.9	2.86	55.89
FAM86B1	85002	104.42	176.29	65.72	182.55	122.64	25.91	265.87	59.97	50.63	148.09	80.01
CILP2	148113	15.56	1.3	9.93	15.11	1437.15	3.63	16.03	70.51	1.39	4.28	11.38
TDRKH	11022	98.73	22.75	249.73	93.35	128.79	68.07	41.81	63.89	58.3	50.27	108.14
LRP6	4040	119.26	281.09	30.12	366.09	50.98	466.88	120.94	229.72	358.54	567.1	151.22
SLC25A5	292	6887.62	4298.64	17927.91	3349.13	18560.17	3515.68	3639.7	3982.99	3847.29	4038.61	7081.29
PNOC	5368	34.51	33.54	0	1183.45	50.98	825	59.97	92.05	177.53	0	50.27
MST4	0	77.79	129.69	113.56	30.34	162.14	132.44	72.01	85.22	148.09	164.42	89.51
SLC8B1	80024	376.41	543.96	220.32	500.46	521.76	642.59	1540.37	1331.57	514.56	518.15	483.38
DHRS4-AS1	55449	211.31	82.87	64.8	264.03	503.95	97.36	162.14	118.43	353.59	114.36	87.65
C5orf22	55322	201.25	85.82	197.09	253.23	241.19	320.8	220.32	204.07	236.21	84.04	193.01
PRDM7	11105	0	0	0	0	1.13	0	0.67	0	0	0	0
SOX4	6659	860.08	791.35	305.55	1529.73	470.14	921.88	2255.7	1242.34	4066.71	872.1	825
SLC2A3	6515	842.36	1216.75	275.28	358.54	118.43	297.17	277.2	253.23	447.82	825	698.41
UGT8	7368	909.17	4.58	60.82	4239.45	82.87	1044.52	1259.69	2319.15	1111.82	3.32	157.68
ZSCAN30	100101467	190.34	156.59	108.14	299.25	56.28	256.78	217.27	447.82	199.85	124.37	231.32
DND1	373863	2.18	11.3	4.9	6.06	3.99	4.1	10.96	4.9	2.56	5.63	4.06
CHIA	27159	0	16.63	14.35	12.93	0	161.02	0	61.25	0	22.1	0
IRGM	345611	1.1	0	0.04	1.5	8.45	0	0	0.2	3.47	3.2	0
TCTEX1D4	343521	0	6.67	84.04	5.68	3.56	2.76	35.5	275.28	10.88	1.3	4.66
LPHN1	22859	878.17	244.57	148.09	463.65	88.26	454.09	583.07	454.09	819.3	176.29	438.59
RABEPK	10244	1051.79	708.18	249.73	738.29	429.54	460.44	305.55	376.41	521.76	483.38	780.44
NRN1	51299	738.29	1159.07	1.04	2627.46	29.06	1143.1	769.69	114.36	1001.93	540.19	1457.23
ERCC3	2071	836.53	974.5	426.57	669.92	567.1	728.11	769.69	836.53	769.69	928.3	718.08
PROC	5624	9.06	6.52	8.13	12.55	1.6	8.32	46.18	54.72	1.57	3.76	5.5
C18orf8	29919	555.41	450.94	1359.57	389.72	389.72	599.49	769.69	500.46	595.34	684.02	599.49
RBM22	55696	651.58	718.08	480.04	728.11	514.56	688.78	884.29	988.12	603.67	679.29	819.3
C19orf67	646457	2.14	1.31	0	2.73	0	0.14	0.96	2.81	2.61	2.05	1.95
AP003774.4	0	13.22	6.41	0	32.59	4.39	10.79	7.4	10.55	21.63	10.08	34.26
ABHD8	79575	283.05	392.44	152.28	420.68	102.25	366.09	368.65	316.37	397.93	379.04	312
AGR2	10551	1540.37	450.94	5076.84	753.83	1806.78	197.09	2691538.19	1775752.63	64.8	1467.37	476.71
FGA	2243	29.91	7.11	9.13	2.76	0	127	1.08	24.46	40.36	10.63	30.78
SAMD1	0	1216.75	753.83	1127.35	620.67	808	642.59	684.02	693.58	836.53	698.41	961.07
ECI1	1632	2915.45	3820.7	1583.71	1832.01	1950	2739.08	3768.09	2956.17	2384.37	2758.13	2271.4
FAM149B1	317662	384.34	567.1	438.59	490.14	305.55	435.55	547.75	607.87	397.93	620.67	358.54
DENND2A	27147	154.42	536.45	0	1639.59	28.65	1037.29	540.19	476.71	656.11	775.05	201.25
RAD23B	5887	2758.13	1331.57	4328.55	2104.58	2303.12	2148.82	1331.57	1909.85	1709.26	1447.15	2537.92
AP3B1	8546	703.28	361.04	1359.57	902.89	1191.69	802.41	718.08	780.44	934.76	543.96	884.29
CA4	762	15.56	20.26	61.25	21.63	50.27	46.5	178.77	116.78	34.26	27.05	27.44
COL19A1	1310	0.56	0.55	0	0.13	0	0.61	1.68	0.12	0.58	1.01	0.11
C17orf74	201243	2.66	0	1.17	0	0.84	1.04	1	0	0	1.39	2.68
TBRG1	84897	368.65	723.08	186.4	273.37	423.61	423.61	674.59	547.75	381.68	624.99	368.65
DEDD	9191	674.59	988.12	579.04	884.29	547.75	665.29	1151.06	791.35	713.11	785.88	1030.12
LRP5L	91355	206.94	295.11	76.17	112.77	151.22	190.34	583.07	620.67	244.57	309.83	135.24
CAPN7	23473	305.55	967.76	212.78	417.77	301.33	476.71	480.04	473.41	353.59	928.3	343.89
AP4B1	10717	327.56	339.14	159.9	420.68	323.03	271.48	403.5	400.71	277.2	341.51	307.69
YIPF1	54432	947.83	500.46	825	638.15	988.12	429.54	669.92	633.73	536.45	571.05	941.27
RP11-812E19.9	0	0	0	0	0	0	5.59	0	0	0	0	0
RARS	5917	764.36	934.76	1519.15	457.25	1583.71	674.59	896.64	753.83	703.28	890.44	759.08
WNK2	65268	140.04	195.72	62.56	77.79	151.22	72.01	1104.13	1572.76	92.7	118.43	148.09
SGK1	6446	780.44	100.83	3419.52	802.41	16157.44	866.07	1909.85	2645.74	723.08	77.79	1008.9
LCE2C	353140	1.48	0	0	1.62	0	0	0	0	1.33	0	0
FANCD2OS	115795	0	0	2.89	0	0	0	3.23	25.35	0	0	0
SNAPIN	23557	981.29	1023	1277.29	1709.26	941.27	1216.75	1340.84	1295.13	1529.73	1030.12	1378.57
SLC30A5	64924	1111.82	713.11	483.38	842.36	848.22	902.89	842.36	1159.07	679.29	872.1	1135.2
ZNF829	374899	20.11	25.54	1.5	25.17	25.54	31.67	19.82	63.45	31	1.46	70.01
CDH11	1009	808	305.55	25.72	4095	327.56	3325.99	4769.75	8421.31	4736.79	366.09	988.12
RXRB	6257	808	1199.98	473.41	941.27	638.15	896.64	1183.45	915.51	775.05	1175.27	708.18
RHOJ	57381	277.2	84.04	24.46	395.18	54.72	373.81	165.57	149.12	563.18	108.9	438.59
TMEM187	8269	183.82	202.66	102.97	275.28	351.14	154.42	239.52	246.28	301.33	224.97	220.32
MEIOB	64735	10.63	0	312	8.45	106.63	0.39	0.99	0	0	0.88	1.73
DPH7	92715	647.07	934.76	323.03	503.95	525.39	500.46	780.44	718.08	559.28	802.41	497
RBFOX2	23543	525.39	647.07	417.77	1529.73	368.65	1447.15	624.99	684.02	1096.5	764.36	665.29
F2RL3	9002	26.1	26.67	9.93	2.03	59.97	23.42	17.77	16.51	61.68	38.95	18.7
TK1	7083	95.34	44.57	2976.74	103.69	351.14	63	186.4	217.27	116.78	40.36	116.78
HEY1	23462	28.65	241.19	41.52	12	22.43	64.34	358.54	1191.69	9.27	579.04	48.87
HAPLN3	145864	764.36	351.14	229.72	262.2	175.07	325.29	150.17	85.22	255	361.04	769.69
ALDH3A1	218	6.31	21.01	127486.83	15.34	110216.97	202.66	2609.3	53230.77	68.07	20.26	53.19
KRTAP9-7	100505724	0	0	0	0	0	2.05	0	0	0	0	0
FSCN2	25794	7.34	7.69	27.25	17.38	19.97	28.65	78.34	289.02	22.75	31	4.13
PXDNL	137902	3.08	0.27	2.16	3.59	0.51	1.22	3.86	10.79	6.11	9.63	2.56
TINAG	27283	2.58	0	0	0	0	0	0	0	0	2.43	0
NKX2-8	26257	1.79	0	860.08	1.99	0	0	0	0	0	0	0
RAB17	64284	48.18	81.14	1208.34	109.66	325.29	33.06	10659.59	12329.98	31.9	61.68	63.89
TUSC3	7991	1467.37	780.44	72.01	3639.7	27.05	154.42	1135.2	2701.35	1832.01	785.88	1001.93
TNFAIP8L3	388121	279.14	105.89	156.59	198.47	149.12	218.79	37.85	71	139.07	171.45	363.56
RPS6KA2	6196	193.01	260.38	43.94	450.94	325.29	1066.48	426.57	392.44	825	217.27	332.14
ZNF592	9640	208.38	226.54	82.87	248	107.38	285.03	199.85	309.83	242.88	242.88	236.21
HIST2H2AB	317772	3.69	21.32	8.58	0	5.32	3.08	0	4.86	0	19.39	0
EXO5	64789	162.14	48.87	87.03	283.05	166.73	164.42	156.59	267.73	142.01	67.59	155.5
GPR153	387509	157.68	167.9	53.57	1127.35	291.04	529.06	559.28	381.68	329.84	132.44	118.43
HK2	3099	81.71	31.22	1519.15	26.86	514.56	50.27	103.69	148.09	162.14	29.7	87.65
CABYR	26256	88.26	146.03	6.94	293.07	11.73	186.4	1008.9	1119.56	148.09	52.08	221.86
IL6	3569	218.79	75.64	4.66	41.22	41.81	46.84	16.51	15.56	30.12	47.17	334.46
ZBTB25	7597	94.01	137.14	70.01	104.42	72.52	98.04	166.73	143.01	92.7	121.79	113.56
ACOT6	641372	0	0.84	0	0	0	0	2.2	1.57	0.88	0	0
IL12B	3593	0	0	0	1.5	0	0	12.18	8.58	0	0	0
BRCA2	675	7.46	16.75	77.79	4.82	19.53	11.91	15.45	24.63	8.85	4.7	21.94
KRT8	3856	1295.13	532.74	10296.45	738.29	3874.05	1066.48	35118.87	118949.35	2018.8	693.58	3325.99
TRIM59	286827	14.89	10.31	368.65	23.93	176.29	14.35	42.71	31	15	14.14	21.16
PIGO	84720	226.54	412	301.33	231.32	400.71	234.57	432.53	480.04	262.2	334.46	271.48
ADAM9	8754	351.14	466.88	1685.71	579.04	540.19	890.44	397.93	638.15	698.41	629.35	463.65
PHOX2A	401	0	0	0	0	0	0	0	0	0	0	0
DUSP10	11221	19.11	76.17	98.04	82.29	128.79	98.04	293.07	291.04	76.17	58.3	42.71
CHST3	9469	269.6	129.69	23.42	291.04	55.89	159.9	194.36	68.07	189.02	115.16	540.19
MFSD7	84179	323.03	76.71	190.34	212.78	221.86	113.56	480.04	429.54	299.25	135.24	232.94
PRCD	768206	163.28	220.32	11.13	134.3	31.9	136.19	201.25	253.23	202.66	289.02	113.56
TRIM49	57093	12.09	0	0	0	0	8.78	0	8.32	4.94	0	32.59
PCMT1	5110	1745.2	1304.15	1628.26	1447.15	1216.75	1477.58	1037.29	1477.58	1286.18	1540.37	1781.89
KLRK1	22914	68.07	50.63	140.04	19.82	559.28	54.33	96.68	102.25	64.34	6.94	30.56
ENO3	2027	72.52	112.77	100.13	111.99	156.59	57.89	555.41	232.94	118.43	73.03	39.5
ROPN1L	83853	400.71	2.41	0	55.49	39.5	144.01	22850.48	184082.4	301.33	53.19	120.94
POU4F3	5459	1.27	0	0	1.36	0	1.93	0	0	3	0	2.94
GPS2	2874	1304.15	1819.35	555.41	947.83	842.36	1242.34	1936.53	1143.1	1242.34	1977.24	1417.35
MOB3B	79817	50.27	121.79	100.83	185.11	110.43	312	607.87	620.67	307.69	167.9	110.43
NUDT17	200035	59.13	75.11	40.07	117.6	197.09	109.66	182.55	129.69	75.64	113.56	38.95
CHIT1	1118	0	0.84	22.59	16.27	1.66	7.22	90.77	10.88	0.35	17.38	10.63
PRR14L	253143	161.02	108.9	392.44	133.36	307.69	133.36	142.01	223.41	143.01	87.03	221.86
OR2T10	127069	0	0	0	0	0	1.68	0	0	0	0	0
AKIP1	56672	397.93	559.28	825	769.69	241.19	769.69	723.08	361.04	1519.15	607.87	463.65
PRR5-ARHGAP8	23779	0	0	102.97	0	103.69	6.41	37.05	289.02	7.63	0	0
EEF1E1	9521	866.07	361.04	708.18	503.95	624.99	327.56	389.72	447.82	426.57	232.94	1066.48
PTPRS	5802	2075.59	2384.37	80.01	915.51	466.88	1331.57	728.11	703.28	733.19	2502.97	890.44
